query_id,customer_name,query_type,query_content,timestamp,customer_sentiment
1,Uma,一般詢問,你們的營業時間是？,2025/3/25 21:44,待分析
2,Grace,一般詢問,有推薦的商品嗎？,2025/3/3 09:02,待分析
3,Uma,技術支援,我無法修改我的個人資料，請協助,2025/3/21 18:07,待分析
4,Leo,一般詢問,有推薦的商品嗎？,2025/3/7 12:06,待分析
5,Henry,訂單問題,能不能提前發貨？,2025/3/15 21:07,待分析
6,Victor,一般詢問,可以提供更多產品資訊嗎？,2025/3/1 09:18,待分析
7,Ryan,訂單問題,付款成功了，但訂單顯示未付款？,2025/3/19 09:04,待分析
8,Ivy,訂單問題,退貨流程是什麼？,2025/3/20 17:59,待分析
9,Alice,一般詢問,有推薦的商品嗎？,2025/3/23 12:03,待分析
10,Wendy,一般詢問,有推薦的商品嗎？,2025/3/26 20:59,待分析
11,Mia,一般詢問,可以提供更多產品資訊嗎？,2025/3/7 12:09,待分析
12,Paul,訂單問題,付款成功了，但訂單顯示未付款？,2025/3/15 20:35,待分析
13,Paul,技術支援,我無法修改我的個人資料，請協助,2025/3/21 13:28,待分析
14,Alice,技術支援,我的密碼重設郵件沒收到,2025/3/3 12:35,待分析
15,Victor,技術支援,網站顯示錯誤 404，請問怎麼解決？,2025/3/26 09:00,待分析
16,Ivy,一般詢問,有哪些支付方式？,2025/3/8 12:18,待分析
17,Leo,一般詢問,可以預訂新品嗎？,2025/3/15 09:30,待分析
18,Ivy,一般詢問,可以提供更多產品資訊嗎？,2025/3/2 17:11,待分析
19,Zack,技術支援,App 無法開啟，顯示 '連線錯誤',2025/3/13 20:27,待分析
20,Quinn,技術支援,我的密碼重設郵件沒收到,2025/3/7 17:04,待分析
21,Frank,技術支援,為什麼系統登出後，無法重新登入？,2025/3/27 22:13,待分析
22,Uma,一般詢問,你們的營業時間是？,2025/3/12 18:29,待分析
23,Alice,一般詢問,可以預訂新品嗎？,2025/3/28 11:48,待分析
24,Paul,技術支援,App 無法開啟，顯示 '連線錯誤',2025/3/9 22:17,待分析
25,Yvonne,技術支援,App 無法開啟，顯示 '連線錯誤',2025/3/10 22:55,待分析
26,Leo,技術支援,收到 '伺服器維護中' 訊息，我該等多久？,2025/3/30 11:28,待分析
27,Paul,一般詢問,最近有促銷活動嗎？,2025/3/11 17:05,待分析
28,Tom,一般詢問,你們的營業時間是？,2025/3/26 10:56,待分析
29,Uma,一般詢問,你們支援 Apple Pay 嗎？,2025/3/6 16:00,待分析
30,Alice,訂單問題,我的訂單 #1234 還沒收到？,2025/3/28 21:55,待分析
31,Alice,訂單問題,可以修改我的送貨地址嗎？,2025/3/18 16:22,待分析
32,Zack,訂單問題,如何取消我的訂單？,2025/3/26 20:22,待分析
33,Leo,一般詢問,如何聯絡真人客服？,2025/3/18 17:42,待分析
34,Nathan,技術支援,收到 '伺服器維護中' 訊息，我該等多久？,2025/3/1 18:54,待分析
35,David,訂單問題,為什麼我的訂單顯示 '處理中' 這麼久？,2025/3/6 14:01,待分析
36,Wendy,一般詢問,可以提供更多產品資訊嗎？,2025/3/29 19:22,待分析
37,Henry,技術支援,付款時顯示錯誤代碼 1001，該如何處理？,2025/3/24 13:34,待分析
38,Uma,技術支援,收到 '伺服器維護中' 訊息，我該等多久？,2025/3/1 21:55,待分析
39,Uma,技術支援,網站載入速度很慢，是我的網路問題嗎？,2025/3/9 22:37,待分析
40,Bob,訂單問題,退貨流程是什麼？,2025/3/27 19:10,待分析
41,Bob,訂單問題,我有優惠券，為什麼沒有折扣？,2025/3/21 12:13,待分析
42,Henry,技術支援,付款時顯示錯誤代碼 1001，該如何處理？,2025/3/13 11:01,待分析
43,Uma,訂單問題,能不能提前發貨？,2025/3/7 20:10,待分析
44,Henry,一般詢問,你們支援 Apple Pay 嗎？,2025/3/25 18:43,待分析
45,Henry,一般詢問,如何聯絡真人客服？,2025/3/7 10:53,待分析
46,Sophia,訂單問題,訂單顯示已送達，但我沒有收到！,2025/3/3 11:26,待分析
47,Yvonne,一般詢問,有推薦的商品嗎？,2025/3/24 19:55,待分析
48,Tom,技術支援,我無法修改我的個人資料，請協助,2025/3/8 22:10,待分析
49,Sophia,技術支援,為什麼系統登出後，無法重新登入？,2025/3/27 19:08,待分析
50,Jack,技術支援,網站載入速度很慢，是我的網路問題嗎？,2025/3/17 15:56,待分析
